Time [s],Latitude [deg],Longitude [deg],Speed [m/s]
68,60.00097722,24.0014823,2.2
69,60.0009968,24.001512,2.2
70,60.00101638,24.0015417,2.2
71,60.00103596,24.0015714,2.2
72,60.00105554,24.0016011,2.2
73,60.00107512,24.0016308,2.2
74,60.0010947,24.0016605,2.2
75,60.00111428,24.0016902,2.2
76,60.00113386,24.0017199,2.2
77,60.00115344,24.0017496,2.2
78,60.00117302,24.0017793,2.2
79,60.0011926,24.001809,2.2
80,60.00121218,24.0018387,2.2
81,60.00123176,24.0018684,2.2
82,60.00125134,24.0018981,2.2
83,60.00127092,24.0019278,2.2
84,60.0012905,24.0019575,2.2
85,60.00131008,24.0019872,2.2
86,60.00132966,24.0020169,2.2
87,60.00134924,24.0020466,2.2
88,60.00136882,24.0020763,2.2
89,60.0013884,24.002106,2.2
90,60.00140798,24.0021357,2.2
91,60.00142756,24.0021654,2.2
92,60.00144714,24.0021951,2.2
93,60.00146672,24.0022248,2.2
94,60.0014863,24.0022545,2.2
95,60.00150588,24.0022842,2.2
96,60.00152546,24.0023139,2.2
97,60.00154504,24.0023436,2.2
98,60.00156462,24.0023733,2.2
99,60.0015842,24.002403,2.2
100,60.00160378,24.0024327,2.2
101,60.00162336,24.0024624,2.2
102,60.00164294,24.0024921,2.2
103,60.00166252,24.0025218,2.2
104,60.0016821,24.0025515,2.2
105,60.00170168,24.0025812,2.2
106,60.00172126,24.0026109,2.2
107,60.00174084,24.0026406,2.2
108,60.00176042,24.0026703,2.2
109,60.00178,24.0027,2.2
110,60.00179958,24.0027297,2.2
111,60.00181916,24.0027594,2.2
112,60.00183874,24.0027891,2.2
113,60.00185832,24.0028188,2.2
114,60.0018779,24.0028485,2.2
115,60.00189748,24.0028782,2.2
116,60.00191706,24.0029079,2.2
117,60.00193664,24.0029376,2.2
118,60.00195622,24.0029673,2.2
119,60.0019758,24.002997,2.2
120,60.00200695,24.00304425,3.5
121,60.0020381,24.0030915,3.5
122,60.00206925,24.00313875,3.5
123,60.0021004,24.003186,3.5
124,60.00213155,24.00323325,3.5
125,60.0021627,24.0032805,3.5
126,60.00219385,24.00332775,3.5
127,60.002225,24.003375,3.5
128,60.00225615,24.00342225,3.5
129,60.0022873,24.0034695,3.5
130,60.00231845,24.00351675,3.5
131,60.0023496,24.003564,3.5
132,60.00238075,24.00361125,3.5
133,60.0024119,24.0036585,3.5
134,60.00244305,24.00370575,3.5
135,60.0024742,24.003753,3.5
136,60.00250535,24.00380025,3.5
137,60.0025365,24.0038475,3.5
138,60.00256765,24.00389475,3.5
139,60.0025988,24.003942,3.5
140,60.00262995,24.00398925,3.5
141,60.0026611,24.0040365,3.5
142,60.00269225,24.00408375,3.5
143,60.0027234,24.004131,3.5
144,60.00275455,24.00417825,3.5
145,60.0027857,24.0042255,3.5
146,60.00281685,24.00427275,3.5
147,60.002848,24.00432,3.5
148,60.00287915,24.00436725,3.5
149,60.0029103,24.0044145,3.5
150,60.00294145,24.00446175,3.5
151,60.0029726,24.004509,3.5
152,60.00300375,24.00455625,3.5
153,60.0030349,24.0046035,3.5
154,60.00306605,24.00465075,3.5
155,60.0030972,24.004698,3.5
156,60.00312835,24.00474525,3.5
157,60.0031595,24.0047925,3.5
158,60.00319065,24.00483975,3.5
159,60.0032218,24.004887,3.5
160,60.00325295,24.00493425,3.5
161,60.0032841,24.0049815,3.5
162,60.00331525,24.00502875,3.5
163,60.0033464,24.005076,3.5
164,60.00337755,24.00512325,3.5
165,60.0034087,24.0051705,3.5
166,60.00343985,24.00521775,3.5
167,60.003471,24.005265,3.5
168,60.00350215,24.00531225,3.5
169,60.0035333,24.0053595,3.5
170,60.00356445,24.00540675,3.5
171,60.0035956,24.005454,3.5
172,60.00362675,24.005501250000002,3.5
173,60.0036579,24.0055485,3.5
174,60.00368905,24.00559575,3.5
175,60.0037202,24.005643,3.5
176,60.00375135,24.00569025,3.5
177,60.0037825,24.0057375,3.5
178,60.00381365,24.00578475,3.5
179,60.0038448,24.005832,3.5
180,60.00387595,24.00587925,3.5
181,60.0039071,24.0059265,3.5
182,60.00393825,24.00597375,3.5
183,60.0039694,24.006021,3.5
184,60.00400055,24.00606825,3.5
185,60.0040317,24.0061155,3.5
186,60.00406285,24.00616275,3.5
187,60.004094,24.00621,3.5
188,60.00412515,24.00625725,3.5
189,60.0041563,24.0063045,3.5
190,60.00418745,24.00635175,3.5
191,60.0042186,24.006399,3.5
192,60.00424975,24.00644625,3.5
193,60.0042809,24.0064935,3.5
194,60.00431205,24.00654075,3.5
195,60.0043432,24.006588,3.5
196,60.00437435,24.00663525,3.5
197,60.0044055,24.0066825,3.5
198,60.00443665,24.00672975,3.5
199,60.0044678,24.006777,3.5
